id	pDR110_IPTG_vs_pDR110_NT_Fold_Change	pDR110_IPTG_vs_pDR110_NT_log2fc	pDR110_IPTG_vs_pDR110_NT pvalue	pDR110_IPTG_vs_pDR110_NT adjusted_pvalue_BH	pDR110_IPTG_vs_pDR110_NT adjusted_pvalue_IHW	Goe3_IPTG_r1	Goe3_IPTG_r2	Goe3_IPTG_r3	Goe3_NT_r1	Goe3_NT_r2	Goe3_NT_r3	pDR110_IPTG_r1	pDR110_IPTG_r2	pDR110_IPTG_r3	pDR110_NT_r1	pDR110_NT_r2	pDR110_NT_r3	sigF_IPTG_r1	sigF_IPTG_r2	sigF_IPTG_r3	sigF_NT_r1	sigF_NT_r2	sigF_NT_r3	sigG_IPTG_r1	sigG_IPTG_r2	sigG_IPTG_r3	sigG_NT_r1	sigG_NT_r2	sigG_NT_r3	SP10_IPTG_r1	SP10_IPTG_r2	SP10_IPTG_r3	SP10_NT_r1	SP10_NT_r2	SP10_NT_r3	Goe3_IPTG.x	Goe3_NT.x	pDR110_IPTG.x	pDR110_NT.x	sigF_IPTG.x	sigF_NT.x	sigG_IPTG.x	sigG_NT.x	SP10_IPTG.x	SP10_NT.x	Name	Description
A8O17_RS00005	0.811705395012566	-0.30097189244685	0.449271622334863	1	1	382.720279571651	509.148239547264	430.870767731539	538.822810451254	998.504757952002	792.45223294039	503.376276965392	821.532214124843	594.33820341513	492.80787372444	1073.43630921043	798.217980675181	142.27955277785	182.349465465426	70.720299807941	648.526943048039	1069.88310298394	774.135627976915	209.082591109679	368.38827424244	749.577624665289	637.565590732088	817.471621015608	666.367732456753	367.802606209893	479.105635024699	422.571584957602	623.090359558022	976.340088856356	746.457272518732	440.913095616818	776.593267114549	639.748898168455	788.154054536685	131.783106017072	830.848558002964	442.349496672469	707.134981401483	423.159942064065	781.96257364437	dnaA	chromosomal replication initiator protein DnaA
A8O17_RS00010	0.918396296236413	-0.122811271048995	0.713097538524484	1	1	525.106734293806	855.930308215282	648.086609315207	572.770092074859	922.606568058316	664.448234771227	475.930006643613	1010.14527769433	589.268019689314	543.061308216077	1073.43630921043	643.249413928047	296.415734953853	261.835129899074	300.561274183749	767.644136669108	996.258743109608	654.286648874984	352.342885018163	370.719845598405	600.022473590243	578.048598246867	697.133159038691	575.005018322312	682.718563160848	658.67825398941	451.929189807288	739.731670827941	1012.78333870082	561.221198983803	676.374550608098	719.941631634801	691.781101342419	753.24901045152	286.270713012226	806.0631762179	441.02840140227	616.728925202623	597.775335652515	771.245402837522	dnaN	DNA polymerase III subunit beta
A8O17_RS00015	1.1892834962109	0.250092659428442	0.531009511464024	1	1	54.4152056263011	69.1559616707898	34.718925499029	61.3940199575826	93.6406238948077	78.1703805613208	54.8925406435579	82.0743038126644	74.3626946453054	46.2007381616663	63.1001521477084	68.3939484526457	65.2114616898478	65.4587824747685	203.32086194783	63.3400950207268	87.6036687112284	48.8273618563421	127.772694567026	97.925996950522	144.149543204863	71.7465114890329	50.6251460730478	73.2351914887182	82.5352253586471	61.8200819386709	55.1567121418343	67.7272129954371	94.9219530832568	41.8986356805197	52.7633642653733	77.7350081379037	70.4431797005092	59.2316129206734	111.330368704149	66.5903751960991	123.282744907471	65.202283016933	66.5040064797174	68.1826005864045	rlbA	ribosome maturation protein RlbA
A8O17_RS00020	1.05232032939237	0.0735739320833198	0.840240153295808	1	1	25310.3259769802	19324.5811155724	30981.7447491591	2244.13200009658	3465.68877488572	1710.95420453591	1019.59974429417	1540.47154848385	1127.83420212046	957.246873139086	1552.55723191338	994.742364203669	835.892372569867	706.019725263574	1754.74743898454	1359.44860656426	1474.35110533152	1115.92716097131	1236.42668075971	1137.80682171083	954.990723732219	918.029226552852	1499.66621236061	949.88218663585	1613.8441152652	1976.77071532464	958.125467367025	1423.77652208186	1750.97102741079	1130.16056769823	25205.5506139039	2473.5916598394	1229.30183163283	1168.18215641871	1098.88651227266	1316.57562428903	1109.74140873425	1122.5258751831	1516.24676598562	1434.96937239696	recF	DNA replication/repair protein RecF
A8O17_RS00025	0.981185845513668	-0.0274016730123623	0.93697875522535	1	1	2425.10433074549	1819.10247003599	2337.74098360128	155.290756363297	306.549831908265	108.461403028833	67.7397310069438	127.846511708189	74.9260483926183	65.6536805455258	126.934026994809	83.1116335627087	109.673821932926	84.1612917532737	192.27081510284	115.335695410876	130.473549144383	68.358306598879	130.353961123936	100.257568306487	111.715895983769	83.1607292259245	131.957347960895	69.6096869595738	154.653383439018	187.668105885251	112.092673062437	128.681704691331	152.553138883806	81.592080009433	2193.98259479425	190.100663766798	90.1707637025836	91.8997803676811	128.701976263013	104.722517051379	114.109141804731	94.9092547154644	151.471387462236	120.942307861523	remB	extracellular matrix regulator RemB
A8O17_RS00030	1.0497309508491	0.0700196082587711	0.844698270155298	1	1	51298.1212640078	38635.1305867479	51495.2883459315	3864.21184438902	6235.47986061635	2821.95073826368	2007.66547587821	3056.47864102355	2135.67405606328	1993.1160550796	3001.6595632125	1863.95153188033	1822.9567699662	1655.17207114772	3544.85502787304	2959.02234947575	2716.64568397054	2238.06871345161	2596.75415625108	1783.65208731308	1773.03938141982	1920.84978486547	2747.03661478341	1807.67655823143	4159.6150955023	4649.75330581575	2472.26617809932	3252.41127295866	3374.81443908508	1950.49175049577	47142.8467322291	4307.21414775635	2399.93939098835	2286.24238339081	2340.99462299565	2637.91224896597	2051.14854166133	2158.52098596011	3760.54485980579	2859.23915417984	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B
A8O17_RS00035	1.08741023226298	0.120896308718221	0.645952792448595	1	1	35164.9197159033	25099.6050452404	30383.5109559451	2845.07111309315	4664.28876073926	2566.91987168237	2007.08151267988	3215.89219265969	2502.9806993113	1928.27291380007	3101.44585032981	2075.19360051888	7244.40056227218	6209.23308046375	6331.67684217972	2857.86727235309	3011.14312346786	2095.13770874486	3618.93571278729	3219.9000425874	2486.57962028389	1996.67280268911	2354.48425261044	2097.71692056299	15817.1146927605	13856.5297945392	15691.1949799625	3073.31042081517	3260.39958492222	2233.85883917718	30216.0119056963	3358.7599151716	2575.31813488362	2368.30412154959	6595.10349497188	2654.71603485527	3108.47179188619	2149.62465862084	15121.6131557541	2855.85628163819	gyrA	DNA topoisomerase (ATP-hydrolyzing) subunit A
A8O17_RS00040	0.958036004892189	-0.0618482185675392	0.921982942245606	1	1	2763.38552572232	2749.20004149241	1191.12621327438	1242.32605090638	1039.90377062129	1703.13716647978	1431.87776231919	2616.11843402868	1705.83514686352	3870.32499512204	1175.42376442592	960.112516885874	13480.9876257013	7106.95352583201	4481.89900032826	1518.27153139235	1015.82977548127	2202.55790482881	1276.43631239181	3068.34790444969	5520.92750474626	819.377773255432	1812.5462135006	1836.68059446459	4831.91659138487	6022.30631552552	1193.8759305539	2813.68943766599	859.382682378772	1279.01098393165	2234.57059349637	1328.45566266915	1917.94378107046	2001.95375881128	8356.61338395384	1578.88640390081	3288.57057386259	1489.53486040687	4016.03294582143	1650.69436799214	A8O17_RS00040	16S ribosomal RNA
A8O17_RS00045	1.82117172479478	0.864866965603604	0.216304693666464	1	1	29.0214430006939	21.0474665954578	70.3280798570074	36.1141293868133	31.5421048908826	43.970839065743	46.133092668522	29.9886879315504	51.2651910054757	12.9686282559063	24.9465717793266	32.0326087689606	53.3548322916936	14.026881958879	39.7801686419668	36.8696075493783	21.4349402165772	25.7453362515258	20.650132455277	23.3157135596481	304.515910020274	34.2426532106748	19.9180902582483	48.5817606905359	22.4367602916711	32.3819476821609	26.6887316815327	27.0908851981748	27.968075462031	47.4116140595354	40.1323298177197	37.209024447813	42.4623238685161	23.3159362680645	35.7206276308465	28.0166280058271	116.160585345066	34.2475013864863	27.1691465517882	34.1568582399138	A8O17_RS00045	tRNA-Ile
A8O17_RS00050	1.44008974331714	0.526158720142788	0.306567166738627	1	1	51.6944453449861	51.1152760175403	105.937234214986	85.9516279406157	60.1271374482449	55.6963961499411	74.7472893869724	61.5557278594983	75.4894021399312	52.6850522896194	52.828034356221	41.5558167813543	71.1397763889248	116.890682990658	39.7801686419668	44.4326039697636	44.7337882780741	63.9194555210297	60.6597640873761	88.5997115266628	362.175727302219	61.1475950190621	33.1968170970805	74.685393300376	44.8735205833421	86.8424960567043	100.52755600044	57.1918687517025	63.5638078682523	68.3609318997952	69.5823185258374	67.2583871796006	70.5974731288006	49.0229678090649	75.9368760071832	51.0286159229558	170.478400972086	56.3432684721729	77.4145242134955	63.0388695065833	A8O17_RS00050	tRNA-Ala
